title,artist,year,views,url
DJ Snake - Taki Taki ft. Ozuna Cardi B  Selena Gomez English Translation,Genius English Translations,2018,604732,https://genius.com/Genius-English-Translations-DJ-Snake-Taki-Taki-ft-Ozuna-Cardi-B-Selena-Gomez-English-Translation-lyrics
Change Locations,Change Locations Lyrics - Drake & Future,2015,676626,https://genius.com/Change-Locations-Lyrics-Drake-Future-Change-Locations-lyrics
Darkside/Gone,Darkside/Gone Lyrics - Dr. Dre,2015,262279,https://genius.com/DarksideGone-Lyrics-Dr-Dre-DarksideGone-lyrics
Semi on Em,Gucci Mane & Chief Keef,2014,241463,https://genius.com/Gucci-Mane-Chief-Keef-Semi-on-Em-lyrics
Side To Side,Ariana Grande,2016,2907737,https://genius.com/Ariana-Grande-Side-To-Side-lyrics
Who Want Smoke?? Remix,Nardo Wick,2021,654095,https://genius.com/Nardo-Wick-Who-Want-Smoke-Remix-lyrics
The Moment,Tame Impala,2015,220481,https://genius.com/Tame-Impala-The-Moment-lyrics
Whitehouse Road,Tyler Childers,2017,196935,https://genius.com/Tyler-Childers-Whitehouse-Road-lyrics
Deja Vu,Post Malone,2016,947063,https://genius.com/Post-Malone-Deja-Vu-lyrics
Favorite Bitch,Eminem,2020,189637,https://genius.com/Eminem-Favorite-Bitch-lyrics
LAnd of the Snakes,J. Cole,2013,738716,https://genius.com/J-Cole-LAnd-of-the-Snakes-lyrics
Of Mice and Men: Chapter 4,John Steinbeck,1937,426649,https://genius.com/John-Steinbeck-Of-Mice-and-Men-Chapter-4-lyrics
Ether,Nas,2001,1577304,https://genius.com/Nas-Ether-lyrics
ULTIMATE,Denzel Curry,2015,3629684,https://genius.com/Denzel-Curry-ULTIMATE-lyrics
Takin Shots,Post Malone,2018,307409,https://genius.com/Post-Malone-Takin-Shots-lyrics
Nikki,Logic,2014,1101814,https://genius.com/Logic-Nikki-lyrics
Poles 1469,Trippie Redd & 6ix9ine,2017,713810,https://genius.com/Trippie-Redd-6ix9ine-Poles-1469-lyrics
Black Friday,Black Friday Lyrics - J. Cole,2015,665800,https://genius.com/Black-Friday-Lyrics-J-Cole-Black-Friday-lyrics
Grown Up,Danny Brown,2012,262706,https://genius.com/Danny-Brown-Grown-Up-lyrics
July,Jhen Aiko,2011,262726,https://genius.com/Jhen-Aiko-July-lyrics
Swang Remix,Travis Scott,2016,202932,https://genius.com/Travis-Scott-Swang-Remix-lyrics
Infinite,Eminem,1996,760694,https://genius.com/Eminem-Infinite-lyrics
Dark Clouds,Rod Wave,2019,208428,https://genius.com/Rod-Wave-Dark-Clouds-lyrics
Got My Mind Made Up,2Pac,1996,227392,https://genius.com/2Pac-Got-My-Mind-Made-Up-lyrics
Juice,Yo Gotti,2017,409767,https://genius.com/Yo-Gotti-Juice-lyrics
Savage Love Laxed - Siren Beat,Jawsh 685 & Jason Derulo,2020,270393,https://genius.com/Jawsh-685-Jason-Derulo-Savage-Love-Laxed-Siren-Beat-lyrics
