title,artist,year,views,url
Make Me Cry,Noah Cyrus,2016,255173,https://genius.com/Noah-Cyrus-Make-Me-Cry-lyrics
We Made You,Eminem,2009,484561,https://genius.com/Eminem-We-Made-You-lyrics
Forever,Lil Tjay,2018,247988,https://genius.com/Lil-Tjay-Forever-lyrics
America,Mac Miller,2012,202573,https://genius.com/Mac-Miller-America-lyrics
Off the Wall,XXXTENTACION,2017,1276629,https://genius.com/XXXTENTACION-Off-the-Wall-lyrics
Yoshi City,Yung Lean,2014,332892,https://genius.com/Yung-Lean-Yoshi-City-lyrics
Rx Medicate,Theory,2017,227549,https://genius.com/Theory-Rx-Medicate-lyrics
London Roads,Lil Wayne,2015,191223,https://genius.com/Lil-Wayne-London-Roads-lyrics
If U Seek Amy,Britney Spears,2008,237214,https://genius.com/Britney-Spears-If-U-Seek-Amy-lyrics
​ghostin,Ariana Grande,2019,1346788,https://genius.com/Ariana-Grande-​ghostin-lyrics
Homage,Mild High Club,2016,289095,https://genius.com/Mild-High-Club-Homage-lyrics
I Thought About Killing You,Kanye West,2018,1263280,https://genius.com/Kanye-West-I-Thought-About-Killing-You-lyrics
100 Degrees,Rich Brian,2019,229795,https://genius.com/Rich-Brian-100-Degrees-lyrics
Billie Bossa Nova,Billie Eilish,2021,452258,https://genius.com/Billie-Eilish-Billie-Bossa-Nova-lyrics
Dead Girl Walking,Heathers the Musical Ensemble,2014,487433,https://genius.com/Heathers-the-Musical-Ensemble-Dead-Girl-Walking-lyrics
Who Let the Dogs Out?,Baha Men,2000,235044,https://genius.com/Baha-Men-Who-Let-the-Dogs-Out-lyrics
Why,Shawn Mendes,2018,223609,https://genius.com/Shawn-Mendes-Why-lyrics
I’m On One,DJ Khaled,2011,1320886,https://genius.com/DJ-Khaled-I’m-On-One-lyrics
Pretty When You Cry,Lana Del Rey,2014,301728,https://genius.com/Lana-Del-Rey-Pretty-When-You-Cry-lyrics
JUNKY,BROCKHAMPTON,2017,627825,https://genius.com/BROCKHAMPTON-JUNKY-lyrics
Mind of a Stoner,Machine Gun Kelly,2013,404128,https://genius.com/Machine-Gun-Kelly-Mind-of-a-Stoner-lyrics
Controlla Leak,Drake,2016,363752,https://genius.com/Drake-Controlla-Leak-lyrics
I No Longer Fear the Razor Guarding My Heel II,$UICIDEBOY$,2015,212333,https://genius.com/UICIDEBOY-I-No-Longer-Fear-the-Razor-Guarding-My-Heel-II-lyrics
Play For Keeps,L'A Capone,2013,693985,https://genius.com/LA-Capone-Play-For-Keeps-lyrics
Emotionless,Drake,2018,1508456,https://genius.com/Drake-Emotionless-lyrics
Sweet Caroline,Neil Diamond,1969,315348,https://genius.com/Neil-Diamond-Sweet-Caroline-lyrics
No Problem,Chance the Rapper,2016,2436075,https://genius.com/Chance-the-Rapper-No-Problem-lyrics
Girl on Fire Inferno Version,Alicia Keys,2012,309548,https://genius.com/Alicia-Keys-Girl-on-Fire-Inferno-Version-lyrics
The Sex Offender Shuffle,Scott Gairdner,2020,213945,https://genius.com/Scott-Gairdner-The-Sex-Offender-Shuffle-lyrics
Bad Bunny - Vete English Translation,Genius English Translations,2019,311532,https://genius.com/Genius-English-Translations-Bad-Bunny-Vete-English-Translation-lyrics
HEAVEN,Troye Sivan,2015,277502,https://genius.com/Troye-Sivan-HEAVEN-lyrics
No Games,Rick Ross,2013,198876,https://genius.com/Rick-Ross-No-Games-lyrics
I Do It,2 Chainz,2013,218379,https://genius.com/2-Chainz-I-Do-It-lyrics
Gurenge From Demon Slayer,AmaLee,2019,298365,https://genius.com/AmaLee-Gurenge-From-Demon-Slayer-lyrics
All Night,Chance the Rapper,2016,783370,https://genius.com/Chance-the-Rapper-All-Night-lyrics
Slippery,Migos,2017,2019164,https://genius.com/Migos-Slippery-lyrics
Another Day in Paradise,Quinn XCII,2015,196936,https://genius.com/Quinn-XCII-Another-Day-in-Paradise-lyrics
Modern Love,David Bowie,1983,205626,https://genius.com/David-Bowie-Modern-Love-lyrics
G to the A,Kodak Black,2017,224416,https://genius.com/Kodak-Black-G-to-the-A-lyrics
Every Girl,Young Money,2009,359294,https://genius.com/Young-Money-Every-Girl-lyrics
Bliss,Flatbush Zombies,2013,251942,https://genius.com/Flatbush-Zombies-Bliss-lyrics
Bad Decisions,Ariana Grande,2016,195111,https://genius.com/Ariana-Grande-Bad-Decisions-lyrics
Wrist,Logic,2016,280261,https://genius.com/Logic-Wrist-lyrics
Ew,Joji,2020,385063,https://genius.com/Joji-Ew-lyrics
The Chain,Fleetwood Mac,1977,694367,https://genius.com/Fleetwood-Mac-The-Chain-lyrics
JUST LIKE YOU,NF,2021,223816,https://genius.com/NF-JUST-LIKE-YOU-lyrics
Slick Talk,JID,2018,189317,https://genius.com/JID-Slick-Talk-lyrics
Therapy Session,NF,2016,406445,https://genius.com/NF-Therapy-Session-lyrics
Crazy  Genius,Panic! at the Disco,2016,220656,https://genius.com/Panic-at-the-Disco-Crazy-Genius-lyrics
The Cuppycake Song,Buddy Castle,1994,1615871,https://genius.com/Buddy-Castle-The-Cuppycake-Song-lyrics
Brown Sugar,The Rolling Stones,1971,551643,https://genius.com/The-Rolling-Stones-Brown-Sugar-lyrics
Family Dont Matter,Young Thug,2017,295957,https://genius.com/Young-Thug-Family-Dont-Matter-lyrics
Roman Holiday,Nicki Minaj,2012,362074,https://genius.com/Nicki-Minaj-Roman-Holiday-lyrics
I Dont Care,Ariana Grande,2016,210316,https://genius.com/Ariana-Grande-I-Dont-Care-lyrics
A Day in the Life,The Beatles,1967,691544,https://genius.com/The-Beatles-A-Day-in-the-Life-lyrics
Nobody,Chief Keef,2014,197981,https://genius.com/Chief-Keef-Nobody-lyrics
Boys Dont Cry,The Cure,1979,257407,https://genius.com/The-Cure-Boys-Dont-Cry-lyrics
Metropolis,Logic,2014,423461,https://genius.com/Logic-Metropolis-lyrics
Writer In the Dark,Lorde,2017,495495,https://genius.com/Lorde-Writer-In-the-Dark-lyrics
​​a p p l y i n g . p r e s s u r e,J. Cole,2021,464467,https://genius.com/J-Cole-​​a-p-p-l-y-i-n-g-p-r-e-s-s-u-r-e-lyrics
Its Not the Same Anymore,Rex Orange County,2019,395786,https://genius.com/Rex-Orange-County-Its-Not-the-Same-Anymore-lyrics
Dont Stop Me Now,Queen,1978,1177886,https://genius.com/Queen-Dont-Stop-Me-Now-lyrics
Put It On,Big L,1994,402862,https://genius.com/Big-L-Put-It-On-lyrics
Real Muthaphuckkin Gs,Eazy-E,1993,927240,https://genius.com/EazyE-Real-Muthaphuckkin-Gs-lyrics
Ashley,Big Sean,2013,491073,https://genius.com/Big-Sean-Ashley-lyrics
Runaway,Lil Peep,2018,313331,https://genius.com/Lil-Peep-Runaway-lyrics
I Won,Future,2014,1006935,https://genius.com/Future-I-Won-lyrics
Always Remember Us This Way,Lady Gaga,2018,935097,https://genius.com/Lady-Gaga-Always-Remember-Us-This-Way-lyrics
In My Feelings,Ann Marie,2016,225051,https://genius.com/Ann-Marie-In-My-Feelings-lyrics
The Blackest Day,The Blackest Day Lyrics - Lana Del Rey,2015,307797,https://genius.com/The-Blackest-Day-Lyrics-Lana-Del-Rey-The-Blackest-Day-lyrics
Im Too Sexy,Right Said Fred,1991,264666,https://genius.com/Right-Said-Fred-Im-Too-Sexy-lyrics
Before I Forget,Slipknot,2005,188351,https://genius.com/Slipknot-Before-I-Forget-lyrics
Semi-Automatic,twenty one pilots,2013,203958,https://genius.com/twenty-one-pilots-SemiAutomatic-lyrics
Of Mice and Men: Chapter 2,John Steinbeck,1937,484867,https://genius.com/John-Steinbeck-Of-Mice-and-Men-Chapter-2-lyrics
Wing$,Macklemore & Ryan Lewis,2011,1123974,https://genius.com/Macklemore-Ryan-Lewis-Wing-lyrics
Somebodys Watching Me,Rockwell,1984,227324,https://genius.com/Rockwell-Somebodys-Watching-Me-lyrics
Sometimes,Ariana Grande,2016,261089,https://genius.com/Ariana-Grande-Sometimes-lyrics
I.M.Y I Miss You,Kodak Black,2015,335089,https://genius.com/Kodak-Black-IMY-I-Miss-You-lyrics
Nothing New Taylors Version From the Vault,Taylor Swift,2021,482551,https://genius.com/Taylor-Swift-Nothing-New-Taylors-Version-From-the-Vault-lyrics
Song 2,Blur,1997,289635,https://genius.com/Blur-Song-2-lyrics
WHAT THE FUCK RIGHT NOW,"Tyler, The Creator",2016,404108,https://genius.com/Tyler-The-Creator-WHAT-THE-FUCK-RIGHT-NOW-lyrics
Orange Juice,EarlWolf,2010,561096,https://genius.com/EarlWolf-Orange-Juice-lyrics
DIEMONDS,$UICIDEBOY$,2015,385117,https://genius.com/UICIDEBOY-DIEMONDS-lyrics
St. Tropez,J. Cole,2014,412803,https://genius.com/J-Cole-St-Tropez-lyrics
In My Mind,Dynoro & Gigi D'Agostino,2017,239508,https://genius.com/Dynoro-Gigi-DAgostino-In-My-Mind-lyrics
Sundress,A$AP Rocky,2018,432985,https://genius.com/AAP-Rocky-Sundress-lyrics
Lets Go Crazy,Prince and the Revolution,1984,376107,https://genius.com/Prince-and-the-Revolution-Lets-Go-Crazy-lyrics
Wow.,Post Malone,2018,1497418,https://genius.com/Post-Malone-Wow-lyrics
Scott and Ramona,Lil Uzi Vert,2016,206420,https://genius.com/Lil-Uzi-Vert-Scott-and-Ramona-lyrics
Wind of Change,Scorpions,1990,320891,https://genius.com/Scorpions-Wind-of-Change-lyrics
THINGS  SUCH,PARTYNEXTDOOR,2015,431141,https://genius.com/PARTYNEXTDOOR-THINGS-SUCH-lyrics
Millions,KSI,2020,231582,https://genius.com/KSI-Millions-lyrics
Tyrone,Erykah Badu,1997,193721,https://genius.com/Erykah-Badu-Tyrone-lyrics
KANGA,6ix9ine,2018,226351,https://genius.com/6ix9ine-KANGA-lyrics
ZIPPER,BROCKHAMPTON,2017,570694,https://genius.com/BROCKHAMPTON-ZIPPER-lyrics
His  Hers,Internet Money,2021,237311,https://genius.com/Internet-Money-His-Hers-lyrics
Smack That,Akon,2006,563715,https://genius.com/Akon-Smack-That-lyrics
Nasty Nasty,Boosie Badazz,2019,275259,https://genius.com/Boosie-Badazz-Nasty-Nasty-lyrics
Walk,Comethazine,2018,563954,https://genius.com/Comethazine-Walk-lyrics
Rodeo,Lil Nas X & Cardi B,2019,498270,https://genius.com/Lil-Nas-X-Cardi-B-Rodeo-lyrics
I Aint Hiding,YoungBoy Never Broke Again,2016,206989,https://genius.com/YoungBoy-Never-Broke-Again-I-Aint-Hiding-lyrics
Strawberries  Cigarettes,Troye Sivan,2018,344673,https://genius.com/Troye-Sivan-Strawberries-Cigarettes-lyrics
WITHOUT YOU,The Kid LAROI,2020,668142,https://genius.com/The-Kid-LAROI-WITHOUT-YOU-lyrics
Heroes,David Bowie,1977,759401,https://genius.com/David-Bowie-Heroes-lyrics
​ivy,Taylor Swift,2020,901557,https://genius.com/Taylor-Swift-​ivy-lyrics
Irreplaceable,Beyonc,2006,540086,https://genius.com/Beyonc-Irreplaceable-lyrics
Lodi Dodi,Snoop Dogg,1993,189287,https://genius.com/Snoop-Dogg-Lodi-Dodi-lyrics
Happy Together,The Turtles,1967,188686,https://genius.com/The-Turtles-Happy-Together-lyrics
You Gon Learn,Eminem,2020,842986,https://genius.com/Eminem-You-Gon-Learn-lyrics
The One,"Kanye West, Big Sean, 2 Chainz & Marsha Ambrosius",2012,414616,https://genius.com/Kanye-West-Big-Sean-2-Chainz-Marsha-Ambrosius-The-One-lyrics
Flava in Ya Ear Remix,Craig Mack,1994,395637,https://genius.com/Craig-Mack-Flava-in-Ya-Ear-Remix-lyrics
13,LANY,2017,732313,https://genius.com/LANY-13-lyrics
Me,Summer Walker,2019,195952,https://genius.com/Summer-Walker-Me-lyrics
Drift Away,Steven Universe,2019,270815,https://genius.com/Steven-Universe-Drift-Away-lyrics
B.O.B.,OutKast,2000,405322,https://genius.com/OutKast-BOB-lyrics
Money Over Fallouts,Tory Lanez,2020,231574,https://genius.com/Tory-Lanez-Money-Over-Fallouts-lyrics
RUN UP ON ME,XXXTENTACION,2015,215626,https://genius.com/XXXTENTACION-RUN-UP-ON-ME-lyrics
I Have Questions,Camila Cabello,2017,475442,https://genius.com/Camila-Cabello-I-Have-Questions-lyrics
BTS - Let Go English Translation,Genius English Translations,2018,357383,https://genius.com/Genius-English-Translations-BTS-Let-Go-English-Translation-lyrics
Morph,twenty one pilots,2018,733038,https://genius.com/twenty-one-pilots-Morph-lyrics
Really Be Smokin N Drinkin,YG,2014,229613,https://genius.com/YG-Really-Be-Smokin-N-Drinkin-lyrics
Clocks,Coldplay,2002,342679,https://genius.com/Coldplay-Clocks-lyrics
Love in the Dark,Love in the Dark Lyrics - Adele,2015,279042,https://genius.com/Love-in-the-Dark-Lyrics-Adele-Love-in-the-Dark-lyrics
Mash Up,Soph Aspin,2019,242228,https://genius.com/Soph-Aspin-Mash-Up-lyrics
IFHY,"Tyler, The Creator",2013,1638323,https://genius.com/Tyler-The-Creator-IFHY-lyrics
La La La Brazil 2014,Shakira,2014,259631,https://genius.com/Shakira-La-La-La-Brazil-2014-lyrics
Classic Man,Jidenna,2015,761957,https://genius.com/Jidenna-Classic-Man-lyrics
Two®,Lil Uzi Vert,2017,311598,https://genius.com/Lil-Uzi-Vert-Two®-lyrics
One Day,Tate McRae,2017,829309,https://genius.com/Tate-McRae-One-Day-lyrics
Broken People,Logic & Rag'N'Bone Man,2017,196394,https://genius.com/Logic-RagNBone-Man-Broken-People-lyrics
Fingers Blue,Smokepurpp,2017,217303,https://genius.com/Smokepurpp-Fingers-Blue-lyrics
Wonda Why They Call U Bitch,2Pac,1996,277104,https://genius.com/2Pac-Wonda-Why-They-Call-U-Bitch-lyrics
Boom,Doja Cat,2021,220776,https://genius.com/Doja-Cat-Boom-lyrics
Broken Home,5 Seconds of Summer,2015,199462,https://genius.com/5-Seconds-of-Summer-Broken-Home-lyrics
​trademark usa,Baby Keem,2021,188925,https://genius.com/Baby-Keem-​trademark-usa-lyrics
Little Wing,The Jimi Hendrix Experience,1967,387876,https://genius.com/The-Jimi-Hendrix-Experience-Little-Wing-lyrics
Territorial Pissings,Nirvana,1991,394597,https://genius.com/Nirvana-Territorial-Pissings-lyrics
Pop That,French Montana,2012,1711162,https://genius.com/French-Montana-Pop-That-lyrics
Creeping,Lil Skies,2018,428433,https://genius.com/Lil-Skies-Creeping-lyrics
Somethin Tells Me,Bryson Tiller,2017,212859,https://genius.com/Bryson-Tiller-Somethin-Tells-Me-lyrics
Go Your Own Way,Fleetwood Mac,1977,230759,https://genius.com/Fleetwood-Mac-Go-Your-Own-Way-lyrics
Who Knew,Eminem,2000,436044,https://genius.com/Eminem-Who-Knew-lyrics
Perfume,Lovejoy,2021,265621,https://genius.com/Lovejoy-Perfume-lyrics
Purity,A$AP Rocky,2018,500064,https://genius.com/AAP-Rocky-Purity-lyrics
Break All of the Lights,Childish Gambino,2011,267626,https://genius.com/Childish-Gambino-Break-All-of-the-Lights-lyrics
Na Na,Trey Songz,2014,341090,https://genius.com/Trey-Songz-Na-Na-lyrics
Killing Me Softly With His Song,Fugees,1996,911132,https://genius.com/Fugees-Killing-Me-Softly-With-His-Song-lyrics
Welcome to Jamrock,Damian Marley,2005,230635,https://genius.com/Damian-Marley-Welcome-to-Jamrock-lyrics
Am I Wrong,Nico & Vinz,2013,619132,https://genius.com/Nico-Vinz-Am-I-Wrong-lyrics
Nas Is Like,Nas,1999,450590,https://genius.com/Nas-Nas-Is-Like-lyrics
Over Again,One Direction,2012,234839,https://genius.com/One-Direction-Over-Again-lyrics
Stayin Alive,Bee Gees,1977,485353,https://genius.com/Bee-Gees-Stayin-Alive-lyrics
The Way,Kehlani,2015,923324,https://genius.com/Kehlani-The-Way-lyrics
Lover,Taylor Swift,2019,2085862,https://genius.com/Taylor-Swift-Lover-lyrics
Hate It or Love It,The Game,2005,814465,https://genius.com/The-Game-Hate-It-or-Love-It-lyrics
Small Bump,Ed Sheeran,2012,195594,https://genius.com/Ed-Sheeran-Small-Bump-lyrics
Menace,Quality Control,2017,315535,https://genius.com/Quality-Control-Menace-lyrics
7am on Bridle Path,Drake,2021,678470,https://genius.com/Drake-7am-on-Bridle-Path-lyrics
I like it when you sleep for you are so beautiful yet so unaware of it,"I like it when you sleep, for you are so beautiful yet so unaware of it Lyrics - The 1975",2016,197762,https://genius.com/I-like-it-when-you-sleep-for-you-are-so-beautiful-yet-so-unaware-of-it-Lyrics-The-1975-I-like-it-when-you-sleep-for-you-are-so-beautiful-yet-so-unaware-of-it-lyrics
3WW,alt-J,2017,244880,https://genius.com/altJ-3WW-lyrics
Best Friend,Rex Orange County,2017,1516787,https://genius.com/Rex-Orange-County-Best-Friend-lyrics
Runaway,Kanye West,2010,2556648,https://genius.com/Kanye-West-Runaway-lyrics
LA Devotee,LA Devotee Lyrics - Panic! at the Disco,2015,363448,https://genius.com/LA-Devotee-Lyrics-Panic-at-the-Disco-LA-Devotee-lyrics
Fuck tha Police,N.W.A,1988,2360514,https://genius.com/NWA-Fuck-tha-Police-lyrics
Roses,benny blanco & Juice WRLD,2018,470061,https://genius.com/benny-blanco-Juice-WRLD-Roses-lyrics
List of WWE Superstar Nicknames,WWE,2014,231951,https://genius.com/WWE-List-of-WWE-Superstar-Nicknames-lyrics
Gods  Monsters,Lana Del Rey,2012,469228,https://genius.com/Lana-Del-Rey-Gods-Monsters-lyrics
Before He Cheats,Carrie Underwood,2006,260014,https://genius.com/Carrie-Underwood-Before-He-Cheats-lyrics
A Million Dreams,Ziv Zaifman,2017,3764208,https://genius.com/Ziv-Zaifman-A-Million-Dreams-lyrics
Heat,Eminem,2017,323217,https://genius.com/Eminem-Heat-lyrics
Pure Souls,Kanye West,2021,579694,https://genius.com/Kanye-West-Pure-Souls-lyrics
First Class,Lil Baby,2018,202050,https://genius.com/Lil-Baby-First-Class-lyrics
Your Power,Billie Eilish,2021,1872259,https://genius.com/Billie-Eilish-Your-Power-lyrics
The Glory,Kanye West,2007,393961,https://genius.com/Kanye-West-The-Glory-lyrics
Santa Baby,Eartha Kitt,1953,215543,https://genius.com/Eartha-Kitt-Santa-Baby-lyrics
Body Party,Ciara,2013,301040,https://genius.com/Ciara-Body-Party-lyrics
The End of the World,Skeeter Davis,1962,262014,https://genius.com/Skeeter-Davis-The-End-of-the-World-lyrics
Really Really,Really Really Lyrics - Kevin Gates,2015,628825,https://genius.com/Really-Really-Lyrics-Kevin-Gates-Really-Really-lyrics
Favorite Song,Chance the Rapper,2013,1613348,https://genius.com/Chance-the-Rapper-Favorite-Song-lyrics
Americas Most Blunted,Madvillain,2003,217687,https://genius.com/Madvillain-Americas-Most-Blunted-lyrics
Make You Feel My Love,Adele,2008,433912,https://genius.com/Adele-Make-You-Feel-My-Love-lyrics
Bitchuary,Shordie Shordie,2018,348255,https://genius.com/Shordie-Shordie-Bitchuary-lyrics
The Knife Game Song,Rusty Cage,2011,985090,https://genius.com/Rusty-Cage-The-Knife-Game-Song-lyrics
Ever Since New York,Harry Styles,2017,428067,https://genius.com/Harry-Styles-Ever-Since-New-York-lyrics
The NeverEnding Story,Limahl,1984,194635,https://genius.com/Limahl-The-NeverEnding-Story-lyrics
Doozy,Token,2017,216861,https://genius.com/Token-Doozy-lyrics
Wildest Dreams,Taylor Swift,2014,779076,https://genius.com/Taylor-Swift-Wildest-Dreams-lyrics
Dont Fear The Reaper,Blue yster Cult,1976,252259,https://genius.com/Blue-yster-Cult-Dont-Fear-The-Reaper-lyrics
Jingle Bells,Christmas Songs,1857,2655226,https://genius.com/Christmas-Songs-Jingle-Bells-lyrics
Sex on Fire,Kings of Leon,2008,407475,https://genius.com/Kings-of-Leon-Sex-on-Fire-lyrics
Nate,NF,2019,272706,https://genius.com/NF-Nate-lyrics
Indica Badu,Logic,2018,293512,https://genius.com/Logic-Indica-Badu-lyrics
Swish Swish,Katy Perry,2017,1670284,https://genius.com/Katy-Perry-Swish-Swish-lyrics
Rhiannon,Fleetwood Mac,1975,323195,https://genius.com/Fleetwood-Mac-Rhiannon-lyrics
The Room Where It Happens,"The Room Where It Happens Lyrics - Leslie Odom, Jr., Lin-Manuel Miranda, Daveed Diggs, Okieriete Onaodowan & Original Broadway Cast of ""Hamilton""",2015,1357360,https://genius.com/The-Room-Where-It-Happens-Lyrics-Leslie-Odom-Jr-LinManuel-Miranda-Daveed-Diggs-Okieriete-Onaodowan-Original-Broadway-Cast-of-Hamilton-The-Room-Where-It-Happens-lyrics
​untitled 03 | 05.28.2013.,Kendrick Lamar,2014,647523,https://genius.com/Kendrick-Lamar-​untitled-03-05282013-lyrics
Can We Fix It?,Bob the Builder,2001,211365,https://genius.com/Bob-the-Builder-Can-We-Fix-It-lyrics
Loud Places,Jamie xx,2015,232531,https://genius.com/Jamie-xx-Loud-Places-lyrics
No Mistakes,Kanye West,2018,696839,https://genius.com/Kanye-West-No-Mistakes-lyrics
A Lie,French Montana,2017,191632,https://genius.com/French-Montana-A-Lie-lyrics
The Cave: Season 1 - Episode 5,Kenny Beats,2019,252065,https://genius.com/Kenny-Beats-The-Cave-Season-1-Episode-5-lyrics
Young Jesus,Logic,2015,498572,https://genius.com/Logic-Young-Jesus-lyrics
Ayala Outro,XXXTENTACION,2017,540664,https://genius.com/XXXTENTACION-Ayala-Outro-lyrics
So Bad,Lil Mosey,2016,357825,https://genius.com/Lil-Mosey-So-Bad-lyrics
Pandemic,DR. CREEP,2013,456364,https://genius.com/DR-CREEP-Pandemic-lyrics
​moonlight,Juice WRLD,2017,471712,https://genius.com/Juice-WRLD-​moonlight-lyrics
The Time Is Now,John Cena & Tha Trademarc,2005,213454,https://genius.com/John-Cena-Tha-Trademarc-The-Time-Is-Now-lyrics
Habits Stay High,Tove Lo,2013,1137304,https://genius.com/Tove-Lo-Habits-Stay-High-lyrics
505,Arctic Monkeys,2007,1464384,https://genius.com/Arctic-Monkeys-505-lyrics
Level of Concern,twenty one pilots,2020,580061,https://genius.com/twenty-one-pilots-Level-of-Concern-lyrics
Show Yourself,Idina Menzel & Evan Rachel Wood,2019,1015458,https://genius.com/Idina-Menzel-Evan-Rachel-Wood-Show-Yourself-lyrics
Knuck If You Buck,Crime Mob,2004,206442,https://genius.com/Crime-Mob-Knuck-If-You-Buck-lyrics
Seeing Green,"Nicki Minaj, Drake & Lil Wayne",2021,719396,https://genius.com/Nicki-Minaj-Drake-Lil-Wayne-Seeing-Green-lyrics
Shape of My Heart,Sting,1993,381320,https://genius.com/Sting-Shape-of-My-Heart-lyrics
Sweet Life,Frank Ocean,2012,833054,https://genius.com/Frank-Ocean-Sweet-Life-lyrics
Figaro,Madvillain,2004,461782,https://genius.com/Madvillain-Figaro-lyrics
II. No Exit,Childish Gambino,2013,243249,https://genius.com/Childish-Gambino-II-No-Exit-lyrics
Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",2017,808419,https://genius.com/Machine-Gun-Kelly-X-Ambassadors-Bebe-Rexha-Home-lyrics
Plush,Stone Temple Pilots,1992,199615,https://genius.com/Stone-Temple-Pilots-Plush-lyrics
The Rose That Grew From Concrete,2Pac,2000,606456,https://genius.com/2Pac-The-Rose-That-Grew-From-Concrete-lyrics
Forever,Juice WRLD,2015,275916,https://genius.com/Juice-WRLD-Forever-lyrics
Vossi Bop,Stormzy,2019,674891,https://genius.com/Stormzy-Vossi-Bop-lyrics
Enough Said,Aaliyah,2012,312418,https://genius.com/Aaliyah-Enough-Said-lyrics
Lovin You,Minnie Riperton,1975,196231,https://genius.com/Minnie-Riperton-Lovin-You-lyrics
Ritz,Lucii,2020,230930,https://genius.com/Lucii-Ritz-lyrics
Olivia,Olivia Lyrics - One Direction,2015,341959,https://genius.com/Olivia-Lyrics-One-Direction-Olivia-lyrics
Wild Boy,Machine Gun Kelly,2011,472667,https://genius.com/Machine-Gun-Kelly-Wild-Boy-lyrics
Ocean Drive,Ocean Drive Lyrics - Duke Dumont,2015,347778,https://genius.com/Ocean-Drive-Lyrics-Duke-Dumont-Ocean-Drive-lyrics
Jump Around,House of Pain,1992,283854,https://genius.com/House-of-Pain-Jump-Around-lyrics
This Must Be the Place Naive Melody,Talking Heads,1983,357224,https://genius.com/Talking-Heads-This-Must-Be-the-Place-Naive-Melody-lyrics
Carolina,Harry Styles,2017,399867,https://genius.com/Harry-Styles-Carolina-lyrics
Best Friend,SOFI TUKKER,2017,190803,https://genius.com/SOFI-TUKKER-Best-Friend-lyrics
Wake Up in the Sky,"Gucci Mane, Bruno Mars & Kodak Black",2018,787183,https://genius.com/Gucci-Mane-Bruno-Mars-Kodak-Black-Wake-Up-in-the-Sky-lyrics
Andromeda,Gorillaz,2017,365387,https://genius.com/Gorillaz-Andromeda-lyrics
Stay Down,Big Sean,2015,226842,https://genius.com/Big-Sean-Stay-Down-lyrics
Heart of a Lion Kid Cudi Theme Music,Kid Cudi,2009,196726,https://genius.com/Kid-Cudi-Heart-of-a-Lion-Kid-Cudi-Theme-Music-lyrics
Please Notice,Christian Leave,2016,240091,https://genius.com/Christian-Leave-Please-Notice-lyrics
Cheerleader,OMI,2012,237156,https://genius.com/OMI-Cheerleader-lyrics
ALONE PART 3,XXXTENTACION,2018,636084,https://genius.com/XXXTENTACION-ALONE-PART-3-lyrics
​iSpy,KYLE,2016,4673510,https://genius.com/KYLE-​iSpy-lyrics
Runnin,21 Savage & Metro Boomin,2020,372350,https://genius.com/21-Savage-Metro-Boomin-Runnin-lyrics
Kiwi,Harry Styles,2017,991310,https://genius.com/Harry-Styles-Kiwi-lyrics
Call Me,NAV & Metro Boomin,2017,578787,https://genius.com/NAV-Metro-Boomin-Call-Me-lyrics
Numb,Rihanna,2012,199441,https://genius.com/Rihanna-Numb-lyrics
The Hooch,Travis Scott,2016,223746,https://genius.com/Travis-Scott-The-Hooch-lyrics
Hell,A$AP Rocky,2013,277465,https://genius.com/AAP-Rocky-Hell-lyrics
Walls,Louis Tomlinson,2020,228043,https://genius.com/Louis-Tomlinson-Walls-lyrics
Good Drank,2 Chainz,2016,753920,https://genius.com/2-Chainz-Good-Drank-lyrics
The A Team,Ed Sheeran,2011,973860,https://genius.com/Ed-Sheeran-The-A-Team-lyrics
I Serve the Base,I Serve the Base Lyrics - Future,2015,229293,https://genius.com/I-Serve-the-Base-Lyrics-Future-I-Serve-the-Base-lyrics
Wu Tang Forever,Logic,2018,339398,https://genius.com/Logic-Wu-Tang-Forever-lyrics
XO TOUR Llif3,Lil Uzi Vert,2017,8351197,https://genius.com/Lil-Uzi-Vert-XO-TOUR-Llif3-lyrics
Earl,Earl Sweatshirt,2010,726425,https://genius.com/Earl-Sweatshirt-Earl-lyrics
Make You Mine,PUBLIC,2014,663656,https://genius.com/PUBLIC-Make-You-Mine-lyrics
Dollar and a Dream III,J. Cole,2011,333577,https://genius.com/J-Cole-Dollar-and-a-Dream-III-lyrics
Proud Family,Tory Lanez,2017,602036,https://genius.com/Tory-Lanez-Proud-Family-lyrics
Unforgettable,French Montana,2017,3221421,https://genius.com/French-Montana-Unforgettable-lyrics
Used To,Juice WRLD,2018,310455,https://genius.com/Juice-WRLD-Used-To-lyrics
Imma Ride Ridin,Young Thug,2014,473319,https://genius.com/Young-Thug-Imma-Ride-Ridin-lyrics
Cashin Out,Ca$h Out,2011,514778,https://genius.com/Cah-Out-Cashin-Out-lyrics
Replay,Lady Gaga,2020,210702,https://genius.com/Lady-Gaga-Replay-lyrics
Kings Never Die,Eminem,2015,730849,https://genius.com/Eminem-Kings-Never-Die-lyrics
WANTED U,Joji,2018,297381,https://genius.com/Joji-WANTED-U-lyrics
Dont Drop That Thun Thun,Finatticz,2012,192158,https://genius.com/Finatticz-Dont-Drop-That-Thun-Thun-lyrics
No Love,Death Grips,2012,371336,https://genius.com/Death-Grips-No-Love-lyrics
